repo,owner,owner_type,hit_patterns,stars,forks,watchers,commits,contributors,top_contributors,release_downloads,pypi_package,pypi_downloads_month,open_issues,pull_requests,disk_kb,language,license,created,pushed,is_archived,is_fork,is_mirror,homepage,topics,description,status,fetched_at,uses_sdv,integration,evidence,sdv_component,use_case,industry,kind,summary,authors,confidence,needs
traindb-project/traindb-model,traindb-project,Organization,rdt|req,44,3,3,181,7,taewhi|kihyuk-nam|JiWonOck|sungsoo|Sung-Soo Kim,0,,,0,11,9187,Jupyter Notebook,Apache-2.0,2021-10-13,2024-12-18,False,False,False,,,ML model library for TrainDB,ok,2026-08-14,,,,,,,,,,,
jansel/pytorch-jit-paritybench,jansel,User,ct,42,20,4,53,9,jansel|yanboliang|desertfire|Andrechang|guangy10,0,,,1,25,33006,Python,,2020-06-07,2024-12-10,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
jordanvolz/lolpop,jordanvolz,User,ct|gc|hma|md|par,37,0,2,1074,1,jordanvolz,0,lolpop,,0,30,2652,Python,Apache-2.0,2023-02-17,2026-01-24,False,False,False,https://lolpop.readthedocs.io/,artificial-intelligence|data-analytics|data-engineering|data-science|generative-ai|machine-learning|machine-learning-framework|software-development|testing-tools|operational-ai|python|python3,A software engineering framework to jump start your machine learning projects,ok,2026-08-14,,,,,,,,,,,
LincolnSteinLab/oncoGAN,LincolnSteinLab,Organization,ct|md|req|st,36,8,3,169,2,anderdnavarro|GFJHogue,0,,,0,12,53734,Python,MIT,2023-12-19,2026-07-21,False,False,False,,,"A pipeline that accurately simulates high quality publicly cancer genomes (VCFs, CNAs and SVs).",ok,2026-08-14,,,,,,,,,,,
Vicomtech/STDG-evaluation-metrics,Vicomtech,Organization,ct|req,35,3,2,47,3,Mikel Hernández Jiménez|mikel-hernandezj|epetxepe,0,,,0,3,14567,Jupyter Notebook,MIT,2021-06-29,2024-08-14,False,False,False,,,Standardised Metrics and Methods for Synthetic Tabular Data Evaluation,ok,2026-08-14,,,,,,,,,,,
gianlucatruda/TableDiffusion,gianlucatruda,User,ct,35,9,2,13,1,gianlucatruda,0,TableDiffusion,,0,0,156,Python,GPL-3.0,2023-12-06,2024-06-05,False,False,False,https://arxiv.org/abs/2308.14784,differential-privacy|diffusion-models|generative-adversarial-network|generative-ai|pytorch|tabular-data,The first differentially-private diffusion model for tabular data,ok,2026-08-14,,,,,,,,,,,
harpreetvirkk/BEAS,harpreetvirkk,User,ct,33,6,1,15,2,Harpreet Virk|harpreetvirkk,0,,,1,0,143026,Jupyter Notebook,,2020-11-11,2021-02-19,False,False,False,,federated-learning|blockchain|hyperledger-fabric|machine-learning,BEAS: Blockchain Enabled Asynchronous & Secure Federated Machine Learning,ok,2026-08-14,,,,,,,,,,,
scimorph/secureml,scimorph,Organization,ct|gc|md|st,33,3,1,105,2,EnzoFanAccount|dependabot[bot],0,secureml,,0,17,3054,Python,MIT,2025-03-19,2026-04-11,False,False,False,https://secureml.readthedocs.io,ai|click|compliance|gdpr|jinja2|ml|privacy|python|yaml|opacus|pytorch|sdv|tensorflow|federated-learning|flower|numpy|pandas|weasyprint|hashicorp-vault,Easy-to-use utilities to build privacy-preserving AI.,ok,2026-08-14,,,,,,,,,,,
jim-schwoebel/voiceome,jim-schwoebel,User,ct,32,4,3,351,1,jim-schwoebel,0,,,1,0,340067,C++,Apache-2.0,2021-04-30,2025-04-02,False,False,False,https://www.medrxiv.org/content/10.1101/2021.08.16.21262125v1,,"🏥 🎤  The largest clinical study in the world to collect voice data labeled with health information (N>6,000 participants, 48 utterances, 80+ health labels).",ok,2026-08-14,,,,,,,,,,,
kubeflow/blog,kubeflow,Organization,ct|gc|par,32,65,6,221,57,Hamel Husain|jbottum|hamelsmu|Shannon Bradshaw|terrytangyuan,0,,,1,163,69473,Jupyter Notebook,Apache-2.0,2020-07-15,2026-08-12,False,False,False,https://blog.kubeflow.org,kubeflow|blog|data-science|machine-learning|fastpages|kubernetes|kubeflow-community|ml-infrastructure,Kubeflow blog  based on fastpages,ok,2026-08-14,,,,,,,,,,,
tabularfm/TabularFM,tabularfm,Organization,rdt,32,8,0,36,1,tranminhquan,0,,,1,0,77954,Jupyter Notebook,NOASSERTION,2024-06-04,2024-09-01,False,False,False,https://tabularfm.github.io/,,,ok,2026-08-14,,,,,,,,,,,
SeafyLiang/machine_learning_study,SeafyLiang,User,ct|ev,31,7,1,123,2,SeafyLiang|seafyLiang,0,,,0,0,109020,Jupyter Notebook,,2020-12-10,2023-03-10,False,False,False,,,machine_learning_study,ok,2026-08-14,,,,,,,,,,,
kjam/secure-and-private-ai-products-masterclass,kjam,User,ev|gc|hma|st,31,8,0,45,2,kjam|willingc,0,masterclass,,0,7,1568,Jupyter Notebook,CC-BY-SA-4.0,2025-11-24,2026-07-13,False,False,False,,,A multidisciplinary masterclass teaching how to design and build secure and private AI/ML systems and products.,ok,2026-08-14,,,,,,,,,,,
cccmag/aiprogrammer,cccmag,Organization,ct|ev|md|st,29,0,1,19,1,ccckmit,0,,,0,0,8903,Python,MIT,2026-03-22,2026-06-24,False,False,False,,,AI 程式人雜誌,ok,2026-08-14,,,,,,,,,,,
KI-AIM/Cinnamon,KI-AIM,Organization,ct,28,3,2,2072,8,DanielPreciado-Marquez|ywarnecke|martinkuhn94|AnnaPasquier|karen-otte,0,,,65,143,46126,Java,Apache-2.0,2023-07-12,2026-08-14,False,False,False,https://ki-aim.github.io/cinnamon-docs/,data-anonymization|data-protection|risk-assessment|synthetic-data,"Cinnamon is a modular application designed to offer robust functionalities for data anonymization, synthetization, and evaluation.",ok,2026-08-14,,,,,,,,,,,
dupadhyaya/piit,dupadhyaya,User,gc|st,28,0,0,180,1,dupadhyaya,0,,,1,0,68816,Jupyter Notebook,,2025-07-06,2026-08-02,False,False,False,,excel|googlesheets|jupyter|python|r|tableau,PIIT BootCamp Data Analyst Course,ok,2026-08-14,,,,,,,,,,,
